Count;SessionId;ParticipantId;Condition;CaseTrue;Patienthistory;Patientfindings;Patientlab;Patientbildgebung;Patientekg;Patientimage2;AmountPatient;AmountPatientRatio;TimePatient;TimePatientSeconds;TechnicalQuestion;Request;Statement;Differentiate;Exclude;SupportDiagnostics;SupportManagement;Other;FirstQuestionCopy;FirstQuestionSelf;AmountDiagnosesMentioned;AmountDiagnosesExcluded;DurationInteraction;DurationInteractionSeconds;AmountInteraction;StartInteraction;EndInteraction
1;317931945;AMLE1968;GPT;2;1;1;1;1;1;1;6;1;00:03:22;202;2;0;0;0;2;0;0;1;0;1;9;0;00:10:00;600;8;15:12:00;15:22:00
2;317931945;AMLE1968;GPT;1;1;1;1;1;1;1;6;1;00:01:54;114;1;0;0;0;1;0;0;2;0;1;2;0;00:09:00;540;8;15:30:00;15:39:00
3;140515775;AMMM1965;GPT;1;1;0;0;0;0;0;1;0.166666667;00:03:11;191;0;2;8;0;0;0;0;2;1;0;14;0;00:13:59;839;20;16:14:46;16:28:45
4;140515775;AMMM1965;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:44;104;0;3;1;0;2;0;0;2;1;0;4;0;00:11:15;675;16;16:32:51;16:44:06
5;713200839;AMTM1969;Human;2;1;0;0;0;0;0;1;0.166666667;00:01:51;111;0;2;2;0;3;0;0;5;1;0;7;1;00:17:21;1041;28;16:14:21;16:31:42
6;713200839;AMTM1969;Human;1;1;1;0;0;0;0;2;0.333333333;00:03:25;205;0;1;4;0;1;0;0;6;1;0;9;0;00:12:11;731;28;16:38:28;16:50:39
7;637253879;BAWA1965;Human;1;1;1;1;0;0;0;3;0.5;00:03:21;201;0;1;1;0;3;0;0;11;0;1;3;0;00:19:43;1183;28;17:15:24;17:35:07
8;637253879;BAWA1965;Human;2;1;1;1;1;1;0;5;0.833333333;00:03:02;182;1;0;1;0;4;0;0;0;0;1;2;0;00:10:51;651;15;17:39:09;17:50:00
9;188496389;BBSS1964;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:40;100;0;1;0;0;0;0;0;1;1;0;1;0;00:05:00;300;6;15:23:00;15:28:00
10;188496389;BBSS1964;GPT;1;1;1;1;1;1;1;6;1;00:05:58;358;0;0;2;0;1;0;0;3;1;0;6;0;00:13:00;780;26;15:34:00;15:47:00
11;334219910;BMAG1959;Human;2;1;1;1;1;1;0;5;0.833333333;00:07:44;464;1;0;0;0;0;0;0;0;0;1;0;0;00:11:35;695;6;16:13:33;16:25:08
12;334219910;BMAG1959;Human;1;1;1;1;1;1;0;5;0.833333333;00:09:36;576;0;0;0;1;0;0;0;2;0;1;4;0;00:16:05;965;9;16:28:05;16:44:10
13;290190020;BSAS1970;Human;1;1;1;0;0;0;0;2;0.333333333;00:03:05;185;0;0;1;1;3;0;0;3;0;1;9;0;00:17:00;1020;20;17:10:00;17:27:00
14;290190020;BSAS1970;Human;2;1;1;1;0;0;0;3;0.5;00:02:39;159;0;1;5;1;9;0;0;1;0;1;15;3;00:21:00;1260;42;17:29:00;17:50:00
15;382904751;GM1960;Human;2;1;1;1;1;1;0;5;0.833333333;00:06:16;376;0;0;0;0;0;0;0;1;0;1;0;0;00:14:25;865;18;17:12:59;17:27:24
16;382904751;GM1960;Human;1;1;1;1;1;1;0;5;0.833333333;00:05:05;305;0;0;2;1;1;0;0;5;0;1;9;0;00:14:37;877;10;17:30:16;17:44:53
17;674465326;HFHS1967;GPT;2;1;1;1;1;1;1;6;1;00:04:20;260;0;0;0;0;1;0;0;0;0;1;4;0;00:05:00;300;2;15:12:00;15:17:00
